team,season_points,goals_for,goals_against,goal_diff,rank,%_matches_won
Liverpool,84,86,41,45,1.0,65.78947368421053
Arsenal,74,69,34,35,2.0,52.63157894736842
Man City,71,72,44,28,3.0,55.26315789473685
Chelsea,69,64,43,21,4.0,52.63157894736842
Newcastle,66,68,47,21,5.0,52.63157894736842
Aston Villa,66,58,51,7,6.0,50.0
Nott'm Forest,65,58,46,12,7.0,50.0
Brighton,61,66,59,7,8.0,42.10526315789473
Bournemouth,56,58,46,12,9.0,39.473684210526315
Brentford,56,66,57,9,10.0,42.10526315789473
Fulham,54,54,54,0,11.0,39.473684210526315
Crystal Palace,53,51,51,0,12.0,34.21052631578947
Everton,48,42,44,-2,13.0,28.947368421052634
West Ham,43,46,62,-16,14.0,28.947368421052634
Man United,42,44,54,-10,15.0,28.947368421052634
Wolves,42,54,69,-15,16.0,31.57894736842105
Tottenham,38,64,65,-1,17.0,28.947368421052634
Leicester,25,33,80,-47,18.0,15.789473684210526
Ipswich,22,36,82,-46,19.0,10.526315789473683
Southampton,12,26,86,-60,20.0,5.263157894736842
